,TotalDemand,Price,Date,Time,Tmax,MeanPrice,Year,Quarter
3167,7431.415,18.02,2000-03-07,00:00:00,22.6,32.14843105817682,2000,1
3215,7452.13167,16.89,2000-03-08,00:00:00,20.1,32.14843105817682,2000,1
3263,7426.91,32.3,2000-03-09,00:00:00,27.4,32.14843105817682,2000,1
3311,7562.02833,28.77,2000-03-10,00:00:00,25.2,32.14843105817682,2000,1
3359,7425.685,26.8,2000-03-11,00:00:00,24.3,32.14843105817682,2000,1
3407,6569.69333,15.56,2000-03-12,00:00:00,25.7,32.14843105817682,2000,1
3455,6546.16167,13.23,2000-03-13,00:00:00,26.1,32.14843105817682,2000,1
3503,7472.48833,20.42,2000-03-14,00:00:00,30.9,32.14843105817682,2000,1
3551,7545.13833,13.97,2000-03-15,00:00:00,24.4,32.14843105817682,2000,1
3599,7503.17167,19.08,2000-03-16,00:00:00,27.8,32.14843105817682,2000,1
3647,7586.97,21.73,2000-03-17,00:00:00,28.9,32.14843105817682,2000,1
3695,7506.67833,31.12,2000-03-18,00:00:00,30.4,32.14843105817682,2000,1
3743,6857.995,19.12,2000-03-19,00:00:00,25.2,32.14843105817682,2000,1
3791,6475.48167,14.26,2000-03-20,00:00:00,22.7,32.14843105817682,2000,1
3839,7401.18167,18.46,2000-03-21,00:00:00,20.0,32.14843105817682,2000,1
3887,7417.58,17.24,2000-03-22,00:00:00,21.7,32.14843105817682,2000,1
3935,7466.16167,23.99,2000-03-23,00:00:00,24.1,32.14843105817682,2000,1
3982,7544.64167,23.57,2000-03-24,00:00:00,19.6,32.14843105817682,2000,1
4030,7338.21333,15.81,2000-03-25,00:00:00,20.9,32.14843105817682,2000,1
4078,6420.55833,11.99,2000-03-26,00:00:00,24.5,32.14843105817682,2000,1
4126,6622.15833,14.95,2000-03-27,00:00:00,24.9,32.14843105817682,2000,1
4174,7536.74333,18.18,2000-03-28,00:00:00,30.8,32.14843105817682,2000,1
4222,7625.39833,29.24,2000-03-29,00:00:00,24.2,32.14843105817682,2000,1
4270,7512.885,30.56,2000-03-30,00:00:00,25.7,32.14843105817682,2000,1
4318,7718.87833,31.58,2000-03-31,00:00:00,28.4,32.14843105817682,2000,1
4366,7710.00667,19.05,2000-04-01,00:00:00,25.7,37.857565277141546,2000,2
4414,6901.66333,16.77,2000-04-02,00:00:00,21.7,37.857565277141546,2000,2
4462,6785.955,31.86,2000-04-03,00:00:00,29.0,37.857565277141546,2000,2
4510,7725.58,30.33,2000-04-04,00:00:00,21.8,37.857565277141546,2000,2
4558,7740.77333,30.44,2000-04-05,00:00:00,22.1,37.857565277141546,2000,2
4606,7728.86333,33.67,2000-04-06,00:00:00,21.9,37.857565277141546,2000,2
4654,7769.07833,33.15,2000-04-07,00:00:00,21.2,37.857565277141546,2000,2
4702,7724.505,37.9,2000-04-08,00:00:00,22.0,37.857565277141546,2000,2
4750,6903.78333,35.73,2000-04-09,00:00:00,23.5,37.857565277141546,2000,2
4798,6776.97667,16.88,2000-04-10,00:00:00,23.8,37.857565277141546,2000,2
4846,7789.80667,18.92,2000-04-11,00:00:00,22.5,37.857565277141546,2000,2
4894,7693.63,13.96,2000-04-12,00:00:00,22.8,37.857565277141546,2000,2
4942,7727.47333,19.74,2000-04-13,00:00:00,24.3,37.857565277141546,2000,2
4990,7727.57333,20.66,2000-04-14,00:00:00,27.6,37.857565277141546,2000,2
5038,7759.74833,41.09,2000-04-15,00:00:00,25.8,37.857565277141546,2000,2
5086,6863.73833,21.95,2000-04-16,00:00:00,25.3,37.857565277141546,2000,2
5134,6722.66667,17.77,2000-04-17,00:00:00,23.3,37.857565277141546,2000,2
5182,7694.62,34.42,2000-04-18,00:00:00,20.9,37.857565277141546,2000,2
5230,7792.635,25.95,2000-04-19,00:00:00,18.3,37.857565277141546,2000,2
5278,7865.61667,32.73,2000-04-20,00:00:00,23.9,37.857565277141546,2000,2
5326,7651.88333,24.87,2000-04-21,00:00:00,24.0,37.857565277141546,2000,2
5374,7026.92667,28.25,2000-04-22,00:00:00,17.7,37.857565277141546,2000,2
5422,6923.21667,24.14,2000-04-23,00:00:00,18.2,37.857565277141546,2000,2
5470,6800.91167,24.54,2000-04-24,00:00:00,19.5,37.857565277141546,2000,2
5518,7101.64333,31.56,2000-04-25,00:00:00,19.6,37.857565277141546,2000,2
5566,7201.83333,25.34,2000-04-26,00:00:00,21.3,37.857565277141546,2000,2
5614,7773.13833,27.49,2000-04-27,00:00:00,22.1,37.857565277141546,2000,2
5662,7860.035,34.77,2000-04-28,00:00:00,23.6,37.857565277141546,2000,2
5710,7826.02333,34.09,2000-04-29,00:00:00,23.9,37.857565277141546,2000,2
5758,7057.89667,28.63,2000-04-30,00:00:00,26.0,37.857565277141546,2000,2
5806,6909.72833,14.84,2000-05-01,00:00:00,20.3,37.857565277141546,2000,2
5854,7904.68667,22.88,2000-05-02,00:00:00,21.5,37.857565277141546,2000,2
5902,7923.29833,22.8,2000-05-03,00:00:00,22.2,37.857565277141546,2000,2
5950,7898.98667,16.4,2000-05-04,00:00:00,24.4,37.857565277141546,2000,2
5998,7945.06833,23.85,2000-05-05,00:00:00,22.0,37.857565277141546,2000,2
6046,7882.98333,25.55,2000-05-06,00:00:00,21.7,37.857565277141546,2000,2
6094,7059.56833,15.91,2000-05-07,00:00:00,19.1,37.857565277141546,2000,2
6142,7006.28333,14.43,2000-05-08,00:00:00,19.5,37.857565277141546,2000,2
6190,7976.33,23.93,2000-05-09,00:00:00,20.4,37.857565277141546,2000,2
6238,8015.15167,24.74,2000-05-10,00:00:00,18.4,37.857565277141546,2000,2
6286,8049.10167,31.38,2000-05-11,00:00:00,19.1,37.857565277141546,2000,2
6334,8056.15667,29.69,2000-05-12,00:00:00,21.1,37.857565277141546,2000,2
6382,8133.69833,36.09,2000-05-13,00:00:00,25.8,37.857565277141546,2000,2
6428,7181.93167,30.75,2000-05-14,00:00:00,22.1,37.857565277141546,2000,2
6476,7135.13167,29.0,2000-05-15,00:00:00,18.0,37.857565277141546,2000,2
6524,8188.89833,32.16,2000-05-16,00:00:00,17.7,37.857565277141546,2000,2
6572,8274.21167,37.34,2000-05-17,00:00:00,19.0,37.857565277141546,2000,2
6620,8212.265,38.86,2000-05-18,00:00:00,19.9,37.857565277141546,2000,2
6668,8399.11333,44.16,2000-05-19,00:00:00,20.6,37.857565277141546,2000,2
6716,8483.98833,45.95,2000-05-20,00:00:00,23.0,37.857565277141546,2000,2
6764,7681.31,33.6,2000-05-21,00:00:00,17.3,37.857565277141546,2000,2
6812,7522.24667,42.14,2000-05-22,00:00:00,21.4,37.857565277141546,2000,2
6860,8573.625,55.46,2000-05-23,00:00:00,19.7,37.857565277141546,2000,2
6908,8634.07833,35.39,2000-05-24,00:00:00,21.9,37.857565277141546,2000,2
6956,8481.29333,31.09,2000-05-25,00:00:00,20.1,37.857565277141546,2000,2
7004,8391.90667,31.46,2000-05-26,00:00:00,21.4,37.857565277141546,2000,2
7052,8421.43333,38.2,2000-05-27,00:00:00,19.8,37.857565277141546,2000,2
7100,7998.755,56.52,2000-05-28,00:00:00,14.7,37.857565277141546,2000,2
7148,7970.19333,54.63,2000-05-29,00:00:00,14.9,37.857565277141546,2000,2
7196,9116.59667,141.45,2000-05-30,00:00:00,13.4,37.857565277141546,2000,2
7244,9104.67833,101.84,2000-05-31,00:00:00,16.2,37.857565277141546,2000,2
